,Sales
780103,6596
696993,9298
612644,6753
582200,3807
889432,9173
529504,2253
372411,5671
900591,3885
391829,0
336063,7749
612887,5523
266387,6765
129121,1482
144000,0
978888,6160
398519,4195
551907,5937
255332,5324
85357,0
137055,8160
595250,0
599899,0
987819,7482
823056,5047
651936,0
641734,0
106758,0
101628,0
775970,2896
52177,7160
523600,9597
456898,0
158769,6110
135030,4467
944994,3821
843476,6615
157780,4693
988776,0
695504,2528
749858,3517
678455,0
445861,9001
124231,6747
1007063,5752
4248,4014
547719,4729
482102,8779
431808,2648
982062,5591
120481,7534
1659,6154
903519,4387
537525,6091
409594,10754
489892,4523
675844,3385
175098,3741
367169,8844
126158,3180
678904,5498
343866,6072
812037,5950
337485,4626
749648,5815
322103,7941
433572,4465
376932,7063
431031,2565
509138,7484
618785,3859
503870,0
421843,7380
907901,0
702497,4490
686247,13499
903346,7681
857826,0
399468,11130
249223,6057
530304,10954
152044,7908
1003692,7209
401784,5889
316607,7761
272947,0
278830,2393
893171,8256
491003,15558
819414,5310
182573,10639
1000436,9193
984772,0
320978,6686
675193,0
63721,4569
514211,5962
505020,4096
339288,5347
346645,0
348024,8385
1008426,6226
757065,10227
179987,0
710818,6168
745049,4262
407647,5687
604163,3122
618807,5613
558767,5865
69669,0
719506,7292
269099,8030
91808,6423
588350,4567
395968,1850
848143,4761
27215,5378
106967,12212
340205,7701
572648,7347
82798,7199
297297,5715
94086,12138
554144,11158
670021,4361
245978,2701
69190,8718
259824,0
512333,14412
80629,5158
623102,7415
600321,7014
139133,0
905627,8221
637530,4654
357294,7450
961263,6737
358058,5564
759301,5192
442059,0
758843,5409
444985,0
251992,9391
572441,3294
512528,18563
878587,12892
972651,4560
2286,5599
126556,0
312611,9732
386132,10770
449224,6748
773353,8383
258230,6416
819818,6166
552359,5832
339441,5466
658042,5483
352139,9717
9509,0
653548,6908
724013,2644
686750,8925
647820,5115
469327,0
267419,0
478585,9044
354262,7739
130740,6715
514639,9941
237293,8274
690789,9272
955245,0
889428,5788
36832,5707
221403,4226
26601,6007
468216,7337
580843,7164
974414,6662
261019,5284
90383,3939
692878,6279
883281,3832
93625,5652
248467,6799
526375,9981
893753,0
940173,0
132750,10238
688258,0
704074,6790
327228,7155
924302,0
492823,6593
910325,3703
49068,6393
468176,7657
261131,4449
17830,0
525094,0
6683,0
307314,0
732200,4185
933285,6494
838377,0
492739,5614
415137,6975
491196,12117
919578,4095
286906,7980
472266,3133
363693,5597
216663,3496
782038,4528
93847,3745
8488,6479
90273,5995
604365,6919
441975,0
669217,8691
737848,6051
305262,0
648116,0
670089,0
236234,5999
903930,0
393743,11572
145866,0
1011804,5472
184302,7112
972818,4458
211456,9112
300914,9871
424848,0
847183,13133
114191,19372
362348,4619
763786,0
737158,5222
248814,3468
294359,6515
880066,5763
966954,6779
703810,5145
424782,8355
896016,8590
528313,7094
799606,0
160174,0
275293,0
203977,4047
412493,4703
209039,4998
944659,0
12035,0
68520,4423
159955,1787
430233,4669
516824,11951
982895,0
554223,8617
586463,6883
941726,11238
938760,2685
163211,6523
405815,6736
740170,5291
399561,9067
27383,6293
205512,5484
200382,4452
97706,6671
517530,6012
850915,0
694676,8045
975070,5024
168858,4604
497676,18105
468407,4539
758752,5514
410368,9005
286497,10137
545928,7554
326367,6053
503862,7174
20009,3620
304374,15344
189,3586
348756,17505
595140,6681
341883,7399
894465,8150
868440,5412
743287,3114
684365,3293
1012663,5787
142697,10166
985365,6737
791635,5014
1012283,0
323230,0
262361,11048
592939,6631
808609,0
841900,0
466276,6593
975798,8042
380554,7328
612810,8227
134005,8305
554562,9482
903067,5166
526019,4972
366576,7196
683651,4663
237010,14018
482732,4311
982877,7972
76676,11553
355892,10462
809946,3183
546232,11147
913773,3976
468037,0
257320,7852
70262,8889
60762,7150
515561,0
377037,6645
343538,9258
195911,4936
481966,9110
489334,7291
785830,1448
192164,12603
612502,11837
927882,0
718364,2935
59664,5948
623277,10505
63706,4829
689582,0
284379,4978
734092,7639
203658,3754
29872,6124
815532,0
3485,9118
850710,7559
456781,4786
753182,0
628693,4576
70590,0
940024,3370
696489,7786
249502,7917
723795,4383
5555,0
230249,3376
459026,5837
242792,8466
753331,9277
1009966,11029
398724,5990
182708,0
947313,4572
332115,6080
930173,12093
635986,15099
309646,0
858850,6442
968995,5005
751115,4817
87843,0
297645,3700
731559,4180
269868,7695
464098,0
604072,2698
832670,19213
469204,7516
987902,4555
47409,3760
536601,6049
94295,12687
928309,0
120737,5123
706633,4686
357587,7336
260167,5858
595691,0
435733,7922
45637,3367
143506,7173
944894,3151
78864,3996
495476,17114
649517,7979
302919,0
214891,4527
517052,4124
1002941,0
530291,0
77310,5851
746517,0
327909,6921
146626,7960
171062,10412
495612,10390
327786,9030
141336,12195
537248,0
79997,6430
78982,0
41715,4242
951941,5908
202234,5756
178410,3060
601885,7639
689239,5143
59372,4011
632478,8850
841249,5164
281515,6318
442664,4470
401369,9509
757521,5970
322486,9822
507693,3241
402144,4198
995078,8163
527767,11999
671665,0
737987,5983
641821,12561
438386,0
447829,0
351722,0
87222,4559
576817,0
670692,6718
746363,12945
290105,18186
466400,4676
919927,4845
230443,0
580985,6155
522862,0
255736,3978
478375,9764
192844,0
789225,5578
529816,4371
856022,5103
999132,5091
54859,6304
844565,6675
573194,5590
412111,3346
167971,0
49274,3855
196435,0
84940,0
815319,7957
709046,10685
412737,0
287255,10114
981640,4046
535479,0
447078,11400
241408,2748
445322,3163
507316,2887
159004,8387
54793,3710
585694,7488
195848,4627
57043,4510
531535,5178
312569,8749
229930,4658
155198,8375
968881,5744
910124,3658
421144,2491
590700,3492
517565,5697
1003816,11520
274301,5417
603414,4827
323990,5903
383800,0
579549,12664
472971,6764
800277,13261
133891,7697
631189,7784
312344,0
686314,10334
954067,13207
519051,4346
766633,0
192776,8543
366519,0
848561,7868
143190,9079
4678,4241
880099,4226
1002849,7585
900184,6955
345559,3118
822748,11247
908222,11481
961967,8395
990965,8128
441931,7569
835223,4086
944945,6232
721402,8376
893595,0
328748,4398
124413,10723
546030,9968
303399,0
772484,5574
543582,0
22472,11493
46708,0
772669,8209
762368,0
722313,0
4299,2165
314940,7403
724453,7529
299294,7794
785394,7905
995761,14825
802764,3096
828146,7879
947094,0
818193,9082
817869,2111
918639,3983
907382,9422
815535,8666
586311,10643
880100,4439
355010,0
767295,17868
951246,5541
574842,6598
6681,7511
859352,7287
48394,0
206603,5555
546339,10028
586829,11943
395142,8648
380703,0
922375,4733
335216,0
520888,6940
780094,0
295985,3756
264210,3077
182732,5517
252247,7233
327196,8013
377640,4040
147123,6321
542545,12598
708629,2385
245280,0
402765,7234
183618,4692
312608,6263
454579,0
716891,8666
777287,8728
785314,6879
152972,9675
773824,0
93933,0
378880,14572
332904,9790
712676,0
559677,5824
430615,4146
725411,9066
290721,13510
919237,4346
157041,6175
728235,3964
567510,6392
860722,0
134761,5911
898293,10817
243291,0
807302,5190
539779,0
39995,0
137640,4331
917454,4254
1002532,7246
785636,7222
499462,3525
729842,5336
964918,9179
871469,3604
931921,0
223466,8367
138666,12056
533302,8634
347827,8367
157025,0
716839,10003
26492,5529
213724,8036
999604,5249
325986,16757
261785,0
344165,5767
1011970,4001
630905,0
495422,0
819103,5861
687501,9717
942877,4585
465998,5695
40941,4247
558091,8284
36236,0
684917,9514
874245,5523
100596,6647
276523,4322
648384,7235
930,4952
172812,12799
147160,5486
223259,5863
309820,6702
709832,9833
535468,0
13173,5234
898279,13341
984781,10871
675285,9215
508551,3358
205685,0
438805,4318
927707,0
418913,7531
827716,10732
468156,20445
576479,0
164008,3153
500020,4791
780897,7573
416129,5551
24857,9843
291543,9729
351322,10908
640570,12239
626349,0
182199,0
802888,8226
766843,20058
368008,4489
378922,13062
182093,6374
346634,16911
306017,19080
232928,6026
906112,5270
1002226,9183
673511,9792
875193,0
597834,0
31350,16384
815402,11319
749808,5647
5298,8857
40928,4608
296448,3863
216203,0
324846,5710
418981,3135
259163,5214
704590,5281
153814,4415
207266,6633
416535,4391
372764,6096
675168,7722
829345,12037
32442,0
739413,3070
154815,7046
598254,7855
634974,12190
8115,0
242908,5286
856360,6930
755768,3669
900089,8727
95684,4047
326462,8282
272136,7205
649079,14209
50256,6479
689641,4333
287024,9012
554196,0
553249,5936
687144,0
265495,7016
733516,11812
418866,11223
412181,6020
829602,8649
533997,27173
13390,5868
462461,6815
224580,8581
440200,6759
664664,9828
341659,7602
947615,11212
17167,9378
646870,6667
978792,7076
679384,6009
383764,10624
621805,6375
7638,6429
503346,11104
4569,4495
717115,14911
716082,2918
530146,6038
863674,9250
754383,3579
881200,6620
930111,8953
207302,9600
457010,4219
740154,5769
570437,0
495624,11562
75660,4444
875894,5696
369776,3196
681666,0
31830,8249
811595,7977
514499,3876
319298,7053
774811,0
775502,6708
47478,6170
41350,3967
948951,6490
597127,0
405194,0
189233,5595
869474,9366
206836,5475
995923,9503
711919,4717
627325,6584
163449,0
385898,10237
299302,7337
152652,8265
994291,9145
841381,5405
318028,4378
929055,10219
222178,7368
534696,0
866079,0
107357,5862
448590,8259
874325,0
844894,0
819062,0
564943,8516
432770,9684
570368,6797
332352,6970
679377,6370
943062,0
47844,0
814618,0
818282,2028
653131,5925
601006,3240
744105,21632
884083,2821
373890,4432
376073,7694
12265,5885
497133,0
644792,2823
840634,5480
428966,0
405762,11315
93623,5183
953039,7985
594861,0
487371,2358
603251,9998
769870,0
851436,4724
591510,5593
733808,5236
1015137,0
34321,3826
81404,7142
616544,9675
159608,4495
523462,10072
112757,3292
979657,3150
787870,7770
846008,4855
933873,3883
425695,11001
684416,5299
739684,10493
833124,8898
23009,6417
31808,0
719335,6672
444541,6110
687498,0
786459,6963
829442,8138
308894,7322
332429,3874
972902,4343
463765,7102
986572,5862
1015386,0
351296,6942
111932,6202
937713,6226
771266,8173
430735,5028
538913,5931
92203,0
586541,0
559782,4103
271729,5484
894080,7875
949709,3709
216216,0
383490,8561
649752,3669
415243,6383
271961,8020
814095,8707
859713,6905
136572,10416
288691,0
639055,0
749264,7980
313759,5054
294253,2277
338961,9209
379841,6314
737507,0
194765,6548
362914,0
362362,3253
701330,5981
311504,0
352959,5880
106477,3920
332707,5105
248308,10332
625966,5947
783909,3215
988141,2708
699102,10790
131936,6264
814415,0
786727,6292
39224,6045
409475,8877
367243,10625
979419,3964
415638,4265
47361,0
291704,4374
820257,5856
185784,0
987530,5184
704202,6599
870816,0
949512,0
500750,0
717855,0
345482,4687
891114,12126
101289,6001
403998,5125
734653,0
359585,8534
512038,20259
734423,10371
956197,0
724652,6782
819123,4401
456294,4793
524596,10630
736803,0
77830,0
801115,2577
754465,5360
171754,5299
455319,3913
126630,0
561632,10680
464759,9528
894478,7361
319970,7533
111729,0
195705,7526
265337,5854
508519,3625
541078,0
313922,6171
700745,3826
635208,11220
712994,0
64507,0
215157,0
608934,9121
865251,4043
842246,6314
676371,6941
780731,5989
776392,3654
39256,0
798308,3061
1233,4377
995158,11105
646893,6303
69215,8537
615925,0
253,4963
360406,0
211948,0
850575,7698
897483,5998
954516,4994
111254,2926
830948,0
174315,4934
307449,8881
222071,9127
828413,0
630420,5671
547862,4207
8036,7380
517430,7522
716057,3863
708604,8286
980223,0
1002421,6791
767495,0
756064,4780
108718,0
708214,7239
467804,26553
868314,6307
996231,11524
495949,17038
486066,7942
67639,5855
554793,8152
419616,0
295433,3889
735255,8021
649771,5420
511974,17319
355647,12867
729097,5122
710603,0
913591,6532
714248,5514
462036,5956
189673,2277
503352,5787
511377,5703
773054,5048
13696,5024
227939,0
427163,4568
588124,6247
589794,4366
26086,8193
395224,0
683268,0
370276,7167
79570,4625
102810,8385
99429,0
184725,4801
746940,8188
619517,5431
901644,3038
903711,5497
805162,4951
618191,8312
949354,5789
861818,0
1001684,4530
772265,9310
820788,13214
591424,0
61846,0
796700,3380
627949,6059
445778,6714
288127,8000
374794,7780
262533,7296
904605,3992
833210,4207
46244,6477
851899,0
314548,7238
821922,4956
750673,5148
679410,10463
405303,8890
469037,13143
527505,7000
391639,19642
898101,7352
778767,0
267423,0
313726,3819
391335,8434
325064,6193
971757,10422
108013,4448
75239,2897
401814,0
229721,6485
900242,5761
1827,3919
112216,11826
61260,7301
185764,8659
377056,7040
70527,0
171738,5194
630269,4913
599910,4934
457648,9619
957894,0
487323,0
899200,6918
703470,0
353761,8242
488585,0
299994,2955
417561,7522
221485,0
663751,16021
264361,6369
370251,9898
528856,7191
438124,2081
108007,8875
28803,2603
153646,4747
396989,0
580453,9670
843282,10044
429134,0
63933,0
647238,5047
685864,7112
24444,7610
190097,3138
673763,8329
393625,11506
269586,12678
557618,8623
579497,3432
33574,0
733953,5125
381296,3448
532572,3362
791943,5913
889387,6639
939533,5294
17233,3479
60965,9377
770779,7412
287802,4905
466869,6946
357392,6483
346516,10697
933987,0
411132,4496
876031,6199
538009,4318
75821,10903
187007,12187
15093,7707
494041,7946
92275,7410
54525,8698
198767,5722
314700,5592
426954,8873
205564,5405
258347,3667
889174,0
726634,9781
167037,11251
911302,4969
55432,3138
109337,5498
501861,4681
860275,10966
257718,5093
925910,4292
59746,5891
736399,7389
460218,4071
847135,0
604858,2873
676077,4650
33425,7298
578367,0
372173,5365
76920,6613
527181,8129
496596,7626
386961,6846
942091,17437
666813,14326
878953,14153
825535,12656
255911,5649
21324,8516
978144,6318
948251,7029
12109,0
114080,0
921949,5770
918861,5376
505755,5086
620150,2333
371634,5960
863738,4946
572543,4873
913871,3860
385512,10477
394158,0
819338,6715
171389,0
149700,3614
312043,0
350395,6061
91076,4109
152362,0
855614,5497
371291,4365
26166,7208
81102,0
989789,5264
265371,0
3927,0
681854,11446
382306,3624
324402,8294
66133,7366
554772,8111
922022,4944
89250,6462
462481,0
863341,6556
906069,3745
152429,0
191716,4222
37570,9527
275600,7674
94291,11268
251150,4567
920860,8949
801582,10276
537497,5610
950144,4637
171717,5429
671018,3740
469372,0
667111,14443
773386,7689
890794,5866
187891,2373
544771,6051
476733,0
808716,7349
819784,1939
418932,7041
639358,5706
435993,9512
981751,3710
393945,5004
310360,5837
227935,18220
724533,0
429092,0
135222,9680
990506,0
634342,0
361610,8481
866559,5392
181812,4457
620646,18616
217838,0
190702,10256
283184,5968
58643,2675
913997,5560
951369,8048
812889,6939
777443,0
938310,0
528112,8618
106604,3412
720795,6789
388420,3239
712313,1091
231756,0
968473,4944
663124,13869
973163,0
204363,6733
334286,3513
662405,4386
113833,9714
941675,14006
15044,4813
40415,5418
19020,3272
669604,3594
350389,7905
998457,5103
815961,9353
631165,4703
695079,5642
571259,9366
44162,6522
919885,4301
398942,3815
939881,3502
393024,14863
526354,4534
639056,3896
759123,4018
820413,6870
178349,2825
877507,9290
29378,4130
556285,6388
117684,5858
12358,5557
336492,9037
669503,7394
388123,4083
169818,7040
280020,4439
1010780,1990
982937,0
244814,8961
609508,5308
398743,4014
750684,0
119561,6087
576280,5972
329701,6503
251465,4424
834549,4886
16083,5538
930317,8620
641238,10119
917232,8459
496775,11880
284259,7540
524191,3900
275981,7092
928058,11255
166232,8451
392472,9474
341505,9914
690974,6487
896552,5479
74443,7799
612062,9041
669588,4774
707034,4986
137182,7885
583610,6264
411198,5085
646090,5576
981346,4455
843951,7752
946025,5925
55799,7488
980281,12282
719107,6120
826075,0
921332,0
411079,7768
470184,4929
806847,3307
894860,8663
99415,6116
749008,4111
467207,0
557421,4876
478394,10421
761829,5340
157620,5686
929016,12446
167706,5047
532873,3421
869693,4664
442377,5590
972124,14834
651678,4595
982011,4419
980272,0
2527,2936
828354,6924
666633,5077
402523,4512
708628,0
904627,7899
911457,5180
375120,11785
719069,0
162585,8499
162731,0
702081,8447
50136,4485
806691,4112
106850,8010
924075,9672
102570,0
948487,13889
763783,8094
288964,0
282785,4215
177712,5828
468488,6237
764208,4141
79187,6034
149680,0
600595,5629
754711,4375
486500,0
808673,5148
444557,8925
341439,0
137629,5989
979913,9417
199112,0
107038,0
101394,5962
445734,6756
408963,7991
874059,6778
171473,9373
1016711,4253
645976,0
729547,4910
346727,15490
154694,7427
82608,0
871003,3951
1008467,4152
901417,5192
243353,7810
433124,5586
62275,11331
42640,7685
779779,0
535128,9092
488050,5244
790735,11720
222536,0
39033,4422
221475,3556
859069,0
664089,0
5876,11603
1010116,6703
569520,5587
162829,0
745966,5902
463024,0
200540,8146
332737,0
586107,6855
378076,6563
238149,16455
583378,5842
712309,4927
27983,4865
651256,5953
730079,4908
591438,0
717675,20129
582726,0
107291,7601
528762,7609
999269,7285
274960,6494
616173,0
135054,4469
22703,11666
235577,6735
496050,18570
185187,4611
591213,3502
740007,5537
954557,4351
106258,2186
634209,8274
599245,0
347829,11680
532386,4489
554447,14676
620299,4986
896985,0
388782,7599
82571,7955
208193,6000
609953,8244
32513,6689
1009812,4518
312367,8004
825691,5133
678344,8389
905584,8137
728908,4706
962853,2891
621288,7695
590886,1346
727955,8310
993576,8950
317379,9441
1015855,0
633398,7616
844774,15654
208441,0
885330,12635
101821,4202
30704,7752
487809,11955
437961,8074
802087,0
911311,11254
45654,4197
448285,0
475253,4170
669620,4621
947871,14601
120978,4569
246042,6343
495021,1633
877743,9729
539417,4944
565246,10050
381338,4885
679634,11824
752145,12865
325394,8675
999524,4953
681598,4345
705275,9278
809677,0
179982,7393
567912,0
844435,0
9002,4129
406250,3886
101828,6098
1009406,4615
172016,7488
454742,6064
814210,6622
228463,0
831980,14791
231089,4408
284377,6876
217575,4366
788753,5593
925391,4752
600377,6280
611941,7838
882093,4966
433132,7413
269466,11957
186927,8414
616620,8914
472962,3410
611477,0
94644,8099
452136,8244
336012,8061
613736,6292
477034,7589
602756,0
673094,6813
150357,4902
725599,5449
863709,8963
389215,6771
644699,3490
204051,5189
552114,5348
127491,0
491148,10118
956530,4577
664412,6633
178042,8116
514969,0
459544,5525
534256,17576
534585,16235
934831,0
374806,0
435732,7203
825437,9464
640803,8655
602249,6807
110578,8928
863380,9697
228375,10748
348434,9310
741503,6081
658658,8297
229604,7614
141888,0
602075,6983
1014462,7569
564349,0
58482,2777
534934,8168
329768,14049
240595,5245
449578,0
581810,5285
703056,2613
554162,7449
109659,4788
814805,8995
451327,5494
977335,3583
885237,8400
925195,7507
28094,5027
493569,4961
985790,2693
348850,19835
38972,9442
283921,5064
902967,0
727318,14402
183147,11265
672329,10448
835299,0
256946,7497
81711,9170
552456,7777
980677,0
284878,5268
182826,6408
910799,7926
877314,13540
127218,0
66183,0
34032,4810
156175,7145
16269,0
375733,10666
629455,0
982178,3492
437019,16984
821686,4531
317372,7609
237171,14259
867605,4356
458825,0
625482,6333
262083,5225
832667,14819
16643,0
342092,8616
528057,9050
656015,11717
60866,6378
120352,7297
111451,8689
79972,11152
329790,0
299069,6973
655816,7370
331034,3577
122219,4933
953949,0
912660,0
564742,8618
161609,4792
607968,6006
673401,7478
389526,13362
441818,8568
801825,8048
938221,4481
471939,6241
375616,7352
943412,4048
208820,5744
251382,8613
328555,6113
567090,2503
417228,0
144533,3841
466775,5487
478407,0
842271,0
195676,5953
632957,5377
693129,0
358867,9269
421377,4860
956076,4712
905260,8070
193257,7095
628884,7147
354810,8965
1013945,7846
51186,8785
988684,8902
876284,9746
676909,0
453427,7450
856488,6113
539725,4116
214942,0
452326,6074
719086,7723
8099,5218
391976,0
30374,7832
715253,3906
515635,5846
435343,4334
569304,5796
259129,9204
310617,4754
78064,4140
342681,6856
277772,3700
502661,12577
607793,9313
522422,3384
360366,3058
423353,9951
942535,8932
608368,9742
6133,0
129091,4308
844526,0
104548,0
86136,8403
688591,17558
314164,8903
763933,3707
548233,4161
901648,3471
299760,3871
677886,7849
784067,3892
426361,0
294927,8117
180574,6745
201852,5468
216871,4888
339922,3862
722675,2839
634638,8577
690053,5954
924993,0
471192,5979
287092,0
673919,6548
514919,5606
526764,6890
1002715,7127
615802,6030
553893,4279
186812,14888
201488,5688
630582,9956
620099,1795
856915,4090
129340,6998
1004829,5784
709769,9686
178328,2230
874203,4533
288660,5491
525318,4358
945689,5950
688170,18059
355804,15457
146328,8864
773404,0
942649,0
947518,0
951697,5296
849486,9189
979077,4470
610961,5768
491541,10244
955660,7887
466360,6951
826945,1920
811459,3135
87580,0
363392,6012
206850,5971
719420,10488
100975,8258
1004644,11228
147233,7285
190517,18691
126880,9623
914329,4946
429918,6899
399663,7509
8489,6111
578653,2321
1007628,3738
647667,5204
778437,10072
297673,3932
785707,9829
918784,5396
683520,0
173978,0
183750,5222
812263,0
839163,4811
568758,7395
606818,0
954713,3473
513245,10980
818849,1755
59000,2136
400558,6483
851600,4848
495192,11207
531052,2727
734297,11883
446010,11717
358942,6077
760581,7318
278885,1130
313976,5232
734378,10855
538525,7651
933161,0
287453,4866
294609,0
976562,8550
177785,7370
667272,16251
204698,9109
677586,8695
1000912,9977
748216,13763
244599,16230
623182,5518
861466,2920
197340,0
243460,4225
376239,9152
774579,6551
977312,10077
764015,3239
63242,7168
398782,0
340860,10634
642842,0
620576,10715
576199,0
287920,4049
676169,3015
442999,3719
765593,0
908600,9992
604795,3723
891329,6811
636982,0
131993,7463
118560,5659
272295,8291
862101,3381
414259,5479
846722,0
95665,2934
194726,0
314448,5535
449371,9665
257087,6357
66720,4623
978478,11921
935388,0
287371,6854
817533,1734
174693,5389
344444,5156
324561,10884
117412,10782
407001,0
968403,7800
446268,8539
227950,21209
416578,5653
178926,0
118192,4241
103593,7696
484485,5306
570394,19240
516134,6152
416360,7351
359808,0
473386,3470
744248,25921
786719,4908
467744,19300
941172,5023
807703,3941
796647,0
832083,0
424405,6341
425204,16246
98090,16229
669371,6480
969688,3447
839805,7827
522202,3311
201948,4799
759203,6846
24757,0
503701,7032
30729,8048
631627,4366
145473,8930
494936,1596
550340,8514
24958,2075
901039,5097
735712,8757
391905,0
482680,9047
920710,8651
467942,0
717698,18629
553899,1134
361112,8048
81460,9341
808314,0
591265,3601
548889,0
619479,3929
197453,2670
642671,8342
240444,0
66448,6258
372864,8570
420933,0
394093,6657
789266,5873
834577,3987
304061,4544
128048,0
669510,4148
929424,7952
895251,13209
623727,2969
566008,4509
561541,12454
790796,10155
338754,7017
852211,0
275136,5620
929455,7530
417628,8551
117177,9024
357507,0
642993,3777
732417,4187
989561,9287
287864,3951
159672,5143
125297,8616
234957,11831
264838,4783
977436,5850
365262,0
132836,0
68393,4497
300985,6237
706402,0
723194,3363
689943,4182
810555,3343
476646,10125
515393,5620
532248,5442
723987,0
1004794,5270
598287,5563
539361,0
521584,7611
283061,4325
814118,4753
332916,4453
821377,10127
470805,0
118733,6473
746965,0
762729,2414
387232,0
595700,6942
100170,5598
767041,0
794464,7797
982652,7797
889142,8269
635764,13856
528233,8109
803209,5746
634868,10138
575153,3905
855751,0
11038,9849
847389,11951
645727,12685
344947,5074
762630,2721
90003,5520
180146,6939
109971,5921
536196,5727
523818,7825
413935,9233
7257,0
846927,6420
782455,7334
297391,6210
276826,6359
534353,0
670879,6394
681887,5102
836389,2836
181862,6905
830830,7415
699822,11359
420953,7164
406538,5112
428227,0
656390,6955
278790,2563
452645,5800
533811,13807
835569,6224
77117,7011
277120,5057
985855,7264
946255,4041
125911,9122
52029,11842
525440,5303
42763,0
432419,0
661639,3472
893422,6890
172417,5987
182688,5709
414003,5905
325082,7392
511816,16411
337437,11253
847415,0
693674,4939
831926,10313
739507,7883
151387,8203
530906,6915
676892,6079
675435,6732
155652,0
787765,6469
797673,0
1013629,6787
563973,0
769256,3960
786075,2877
130927,7842
736522,14747
872615,3711
737907,9663
414190,0
335151,11014
615800,6470
690654,6927
202119,9614
639538,0
518905,0
961457,6503
169490,3509
88964,0
964261,11381
748550,5921
950156,3946
180677,0
572123,7050
189630,3763
736367,6628
606040,0
376309,9884
966159,10774
167197,5375
140381,0
119851,6580
850866,0
776661,9103
744556,8546
113043,3240
975526,10921
224209,9142
332145,0
125417,5077
44826,5418
608020,7571
950239,4091
650955,6037
859326,6253
113636,8966
381554,3717
287828,5641
656969,10763
481399,15212
863511,5828
802822,4627
948246,10974
338732,0
104671,5495
542368,17254
300405,0
918106,8322
755933,11208
345117,2878
573293,7305
111025,5424
446129,0
584240,6643
556109,2798
559150,7158
373628,5117
893727,5928
986468,7283
866121,11301
370021,0
980721,13755
819348,4553
702203,4717
578571,6326
157560,5852
940655,11687
362829,6771
371603,2446
905546,7053
323544,7498
389260,5810
165949,0
698058,0
304298,12422
570686,5948
131347,8259
269796,5365
136445,8053
933234,4348
988248,5897
417958,4967
698834,13463
651550,4143
292449,5723
436946,15002
766387,2289
978956,4471
852569,6375
944290,4900
921704,8186
416107,8817
759542,0
603301,15004
881890,5264
347783,10757
908204,6896
46377,5679
311574,0
276036,11457
677762,7739
195405,9774
230844,2667
342860,6211
20449,3687
980472,10673
